condition,batches,n_mean,prompt_delta_strong_EM_vs_base_mean,prompt_delta_strong_EM_vs_base_se,prompt_strong_W_to_R_mean,prompt_strong_R_to_W_mean,prompt_strong_net_mean,prompt_strong_gain_freq_mean,prompt_strong_gain_freq_se,prompt_strong_loss_freq_mean,prompt_strong_loss_freq_se,prompt_strong_net_freq_mean,prompt_strong_net_freq_se,prompt_delta_base_answerer_EM_vs_base_mean,prompt_delta_base_answerer_EM_vs_base_se,prompt_baseans_W_to_R_mean,prompt_baseans_R_to_W_mean,prompt_baseans_net_mean,prompt_delta_support_recall_vs_base_mean,prompt_delta_support_recall_vs_base_se,prompt_delta_missing_recovery_vs_base_mean,prompt_delta_missing_recovery_vs_base_se,support_recall_base_mean,support_recall_cond_mean,missing_recovery_base_mean,missing_recovery_cond_mean
endpoint_delta_custom_signed,3,300.0,0.014444444444444407,0.004843221048378541,13.0,8.666666666666666,4.333333333333333,0.043333333333333335,0.0033333333333333344,0.02888888888888889,0.0022222222222222214,0.014444444444444446,0.004843221048378527,-0.01,0.008819171036881962,13.666666666666666,16.666666666666668,-3.0,0.016111111111111076,0.01866699735156824,0.05897435897435898,0.013567955441356876,0.645,0.6611111111111111,0.0846153846153846,0.1435897435897436
delta_p_custom_signed,3,300.0,0.011111111111111108,0.004843221048378541,15.0,11.666666666666666,3.3333333333333335,0.05000000000000001,0.007698003589195012,0.03888888888888889,0.002939723678960657,0.011111111111111113,0.004843221048378528,-0.007777777777777772,0.005879447357921308,14.0,16.333333333333332,-2.3333333333333335,0.03222222222222223,0.021652416966561183,0.13846153846153844,0.004441155916843284,0.645,0.6772222222222223,0.0846153846153846,0.2230769230769231
endpoint_delta_neg_only,3,300.0,0.00888888888888891,0.005879447357921315,13.333333333333334,10.666666666666666,2.6666666666666665,0.044444444444444446,0.0061864048475889135,0.035555555555555556,0.002939723678960657,0.008888888888888889,0.005879447357921311,0.005555555555555554,0.007777777777777772,18.0,16.333333333333332,1.6666666666666667,-0.0022222222222222365,0.018316490579816158,0.10924630924630925,0.03477293339369839,0.645,0.6427777777777778,0.0846153846153846,0.19386169386169386
endpoint_delta_contrastive_raw_C,3,300.0,0.007777777777777772,0.004006168083848872,12.666666666666666,10.333333333333334,2.3333333333333335,0.042222222222222223,0.0029397236789606568,0.034444444444444444,0.0022222222222222227,0.007777777777777779,0.004006168083848878,-0.013333333333333327,0.011706281947614151,14.0,18.0,-4.0,-0.0016666666666667052,0.015752718754175325,0.06410256410256411,0.02525348154306694,0.645,0.6433333333333333,0.0846153846153846,0.14871794871794872
delta_p_neg_only,3,300.0,0.006666666666666672,0.006938886664887137,13.0,11.0,2.0,0.043333333333333335,0.005091750772173157,0.03666666666666667,0.001924500897298753,0.006666666666666668,0.006938886664887111,-0.002222222222222218,0.0077777777777777776,15.666666666666666,16.333333333333332,-0.6666666666666666,0.006666666666666672,0.0067357531405456295,0.09743589743589744,0.02525348154306694,0.645,0.6516666666666667,0.0846153846153846,0.18205128205128207
base,3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.645,0.0846153846153846,0.0846153846153846
