condition,batches,n_mean,support_recall_mean,support_recall_se,missing_recovery_mean,missing_recovery_se,base_answerer_EM_mean,base_answerer_EM_se,strong_answerer_EM_mean,strong_answerer_EM_se,answerer_delta_EM_mean,answerer_delta_EM_se
endpoint_delta_custom_signed,3,300.0,0.6611111111111111,0.017488973598552417,0.1435897435897436,0.01794871794871795,0.19000000000000003,0.001924500897298749,0.6488888888888888,0.004006168083848872,0.45888888888888885,0.00400616808384888
delta_p_custom_signed,3,300.0,0.6772222222222223,0.021865187393504907,0.2230769230769231,0.02701449680218651,0.1922222222222222,0.004006168083848878,0.6455555555555555,0.004006168083848872,0.4533333333333333,0.007698003589195012
endpoint_delta_neg_only,3,300.0,0.6427777777777778,0.018815215802084555,0.19386169386169386,0.004705187212805805,0.20555555555555557,0.0011111111111111092,0.6433333333333334,0.008388704928078621,0.4377777777777778,0.00801233616769777
endpoint_delta_contrastive_raw_C,3,300.0,0.6433333333333333,0.012619796324000608,0.14871794871794872,0.018490006540840973,0.18666666666666668,0.007698003589195012,0.6422222222222222,0.005879447357921315,0.45555555555555555,0.011111111111111127
delta_p_neg_only,3,300.0,0.6516666666666667,0.007515416254704813,0.18205128205128207,0.012820512820512822,0.1977777777777778,0.0022222222222222274,0.6411111111111111,0.004843221048378541,0.44333333333333336,0.006938886664887118
base,3,300.0,0.645,0.0033333333333332993,0.0846153846153846,0.03108809141790293,0.19999999999999998,0.006938886664887105,0.6344444444444445,0.0029397236789606616,0.4344444444444444,0.009875771574795104
