condition,base300,raw_est300,raw_delta,W_retrieval_W2R,W_other_W2R,C_clean_R2W,C_fragile_R2W,calibrated_est300,calibrated_delta
delta_p_custom_signed,0.63,0.6763247863247863,0.046324786324786316,0.11965811965811966,0.1282051282051282,0.0,0.0,0.6394871794871795,0.009487179487179476
endpoint_delta_contrastive_raw_C,0.63,0.6698290598290598,0.03982905982905982,0.08547008547008547,0.11965811965811966,0.0,0.0,0.632991452991453,0.002991452991452981
delta_p_neg_only,0.63,0.6692307692307692,0.03923076923076918,0.13675213675213677,0.09401709401709402,0.0,0.01282051282051282,0.6323931623931623,0.0023931623931623403
endpoint_delta_custom_signed,0.63,0.6681196581196581,0.03811965811965812,0.11965811965811966,0.09401709401709402,0.0,0.0,0.6312820512820513,0.0012820512820512775
base,0.63,0.6668376068376068,0.03683760683760684,0.09401709401709402,0.10256410256410256,0.0,0.0,0.63,0.0
delta_p_contrastive_raw_C,0.63,0.6606837606837607,0.030683760683760664,0.09401709401709402,0.07692307692307693,0.0,0.0,0.6238461538461538,-0.006153846153846176
endpoint_delta_custom_preserve,0.63,0.659002849002849,0.029002849002848996,0.13675213675213677,0.08547008547008547,0.017094017094017096,0.0,0.6221652421652422,-0.007834757834757844
endpoint_delta_neg_only,0.63,0.6584615384615384,0.028461538461538427,0.07692307692307693,0.07692307692307693,0.0,0.0,0.6216239316239316,-0.008376068376068413
delta_p_custom_preserve,0.63,0.6467236467236467,0.01672364672364668,0.08547008547008547,0.042735042735042736,0.008547008547008548,0.0,0.6098860398860398,-0.02011396011396016
