condition,batches,n_mean,base_EM_mean,base_EM_se,strong_EM_mean,strong_EM_se,delta_EM_mean,delta_EM_se,gain_freq_mean,gain_freq_se,loss_freq_mean,loss_freq_se,net_freq_mean,net_freq_se,flip_rate_mean,flip_rate_se,W_to_R_mean,R_to_W_mean,net_mean,MR_mean,support_mean
base,3,143.0,0.1958041958041958,0.004037414469857522,0.5944055944055945,0.02097902097902101,0.3986013986013986,0.024558633456533224,0.40326340326340326,0.023657089895319845,0.004662004662004662,0.0023310023310023314,0.3986013986013986,0.024558633456533176,0.40792540792540793,0.022957710493697214,57.666666666666664,0.6666666666666666,57.0,0.5205992509363296,
endpoint_delta_custom_preserve,3,143.0,0.22843822843822845,0.0023310023310023353,0.5944055944055945,0.008074828939715062,0.36596736596736595,0.010160603597996939,0.3706293706293706,0.006993006993006997,0.004662004662004662,0.004662004662004663,0.36596736596736595,0.010160603597996918,0.3752913752913753,0.006167252473344036,53.0,0.6666666666666666,52.333333333333336,0.5374531835205992,
delta_p_custom_preserve,3,143.0,0.1958041958041958,0.014557104891371552,0.5920745920745921,0.0046620046620046525,0.39627039627039623,0.019080076391311068,0.3986013986013986,0.018501757420032097,0.002331002331002331,0.0023310023310023314,0.39627039627039623,0.019080076391311065,0.4009324009324009,0.018205710200248606,57.0,0.3333333333333333,56.666666666666664,0.5074906367041199,
delta_p_custom_signed,3,143.0,0.1958041958041958,0.013986013986013984,0.5920745920745921,0.010160603597996917,0.39627039627039623,0.008404548427654958,0.39627039627039623,0.008404548427654989,0.0,0.0,0.39627039627039623,0.008404548427654989,0.39627039627039623,0.008404548427654989,56.666666666666664,0.0,56.666666666666664,0.5393258426966292,
endpoint_delta_custom_signed,3,143.0,0.2027972027972028,0.014557104891371561,0.5920745920745921,0.006167252473344022,0.38927738927738925,0.02071840190516453,0.3986013986013986,0.01614965787943009,0.009324009324009324,0.006167252473344035,0.3892773892773893,0.020718401905164552,0.40792540792540793,0.012978471708228483,57.0,1.3333333333333333,55.666666666666664,0.5280898876404495,
delta_p_neg_only,3,143.0,0.17016317016317017,0.019080076391311075,0.5874125874125874,0.0040374144698575145,0.4172494172494172,0.016317016317016333,0.42191142191142195,0.020718401905164552,0.004662004662004662,0.004662004662004663,0.4172494172494172,0.016317016317016316,0.4265734265734266,0.025213645282964957,60.333333333333336,0.6666666666666666,59.666666666666664,0.5580524344569288,
endpoint_delta_neg_only,3,143.0,0.20279720279720279,0.004037414469857522,0.585081585081585,0.006167252473344022,0.3822843822843822,0.0046620046620046525,0.3846153846153846,0.006993006993006997,0.002331002331002331,0.0023310023310023314,0.3822843822843823,0.004662004662004671,0.38694638694638694,0.009324009324009324,55.0,0.3333333333333333,54.666666666666664,0.5149812734082397,
