condition,base300,raw_est300,raw_delta,gain_freq_300,loss_freq_300,net_freq_300,W_retrieval_W2R,W_other_W2R,C_clean_R2W,C_fragile_R2W,calibrated_est300,calibrated_delta
delta_p_custom_signed,0.63,0.6617380952380952,0.03173809523809523,0.03173809523809524,0.0,0.03173809523809524,0.05952380952380952,0.1,0.0,0.0,0.6388068783068783,0.008806878306878319
endpoint_delta_neg_only,0.63,0.6616216931216932,0.03162169312169316,0.03354761904761904,0.0019259259259259262,0.03162169312169311,0.011904761904761904,0.13333333333333333,0.0,0.022222222222222223,0.6386904761904763,0.008690476190476248
endpoint_delta_custom_preserve,0.63,0.6582645502645503,0.028264550264550325,0.03019047619047619,0.0019259259259259262,0.028264550264550267,0.047619047619047616,0.1,0.0,0.022222222222222223,0.6353333333333334,0.005333333333333412
endpoint_delta_custom_signed,0.63,0.6547169312169313,0.024716931216931304,0.0344047619047619,0.009687830687830688,0.024716931216931214,0.05952380952380952,0.1111111111111111,0.014285714285714285,0.022222222222222223,0.6317857142857144,0.0017857142857143904
base,0.63,0.6529312169312169,0.022931216931216913,0.024857142857142855,0.0019259259259259262,0.02293121693121693,0.047619047619047616,0.07777777777777778,0.0,0.022222222222222223,0.63,0.0
delta_p_custom_preserve,0.63,0.6490952380952381,0.019095238095238054,0.019095238095238096,0.0,0.019095238095238096,0.023809523809523808,0.06666666666666667,0.0,0.0,0.6261640211640211,-0.0038359788359788594
delta_p_neg_only,0.63,0.647015873015873,0.01701587301587304,0.022190476190476188,0.005174603174603175,0.017015873015873012,0.047619047619047616,0.06666666666666667,0.009523809523809525,0.0,0.6240846560846561,-0.005915343915343874
